run_id,pair_index,order,base,candidate
run-01,0,base-first,1000,1001
run-01,1,candidate-first,1002,1001
run-02,0,candidate-first,1010,1011
run-02,1,base-first,1012,1011
run-03,0,base-first,1020,1021
run-03,1,candidate-first,1022,1021
run-04,0,candidate-first,1030,1031
run-04,1,base-first,1032,1031
run-05,0,base-first,1040,1041
run-05,1,candidate-first,1042,1041
run-06,0,candidate-first,1050,1051
run-06,1,base-first,1052,1051
run-07,0,base-first,1060,1061
run-07,1,candidate-first,1062,1061
run-08,0,candidate-first,1070,1071
run-08,1,base-first,1072,1071
run-09,0,base-first,1080,1081
run-09,1,candidate-first,1082,1081
run-10,0,candidate-first,1090,1091
run-10,1,base-first,1092,1091
run-11,0,base-first,1100,1101
run-11,1,candidate-first,1102,1101
run-12,0,candidate-first,1110,1111
run-12,1,base-first,1112,1111
run-13,0,base-first,1120,1121
run-13,1,candidate-first,1122,1121
run-14,0,candidate-first,1130,1131
run-14,1,base-first,1132,1131
run-15,0,base-first,1140,1141
run-15,1,candidate-first,1142,1141
run-16,0,candidate-first,1150,1151
run-16,1,base-first,1152,1151
run-17,0,base-first,1160,1161
run-17,1,candidate-first,1162,1161
run-18,0,candidate-first,1170,1171
run-18,1,base-first,1172,1171
run-19,0,base-first,1180,1181
run-19,1,candidate-first,1182,1181
run-20,0,candidate-first,1190,1191
run-20,1,base-first,1192,1191
