sample_index,admission_ns,resource_preparation_ns,command_buffer_ns,atlas_upload_encoding_ns,render_encoding_ns,readback_encoding_ns,commit_ns,completion_wait_ns,gpu_execution_ns,readback_compaction_ns,native_total_ns,submission_accounting_ns,total_ns
0,83,9583,375,0,5625,5083,2250,339583,34875,500,363292,3167,366625
1,208,11500,417,0,5625,4958,2292,338834,35083,500,364458,3167,367916
2,208,10625,417,0,5542,4917,2042,336959,34875,459,361208,3167,364625
3,167,10042,375,0,5542,5000,2000,336042,35083,459,359750,3375,363417
4,167,9833,375,0,5583,5125,2167,336000,35250,458,359875,3250,363417
5,208,10750,375,0,5625,5042,1958,297166,35125,291,321583,2417,324291
6,167,7625,292,0,4583,3958,1541,325083,34625,458,343833,2542,346542
7,167,9209,292,0,4500,4250,3208,293583,31625,500,315917,4249,320375
8,208,11167,416,0,14583,7250,3583,308291,34833,417,346041,4084,350459
9,166,9041,375,0,5583,5125,5875,346959,34667,542,373833,3501,377541
10,167,11000,416,0,5875,5292,2500,332917,33875,500,358750,3334,362375
11,167,10458,417,0,5459,4917,2000,348292,34750,458,372334,3083,375709
12,167,10584,375,0,5542,4958,2000,348375,34792,500,372625,3208,376084
13,166,11541,458,0,5542,5209,2084,322417,33500,292,347917,2625,350750
14,167,7791,333,0,4542,4000,1625,342166,34458,417,361166,2542,363917
15,167,8166,292,0,4417,4000,1875,342834,34792,500,362333,3292,365834
16,167,10292,375,0,5459,5000,2000,353458,34708,500,377416,3084,380791
17,166,10708,416,0,5542,4959,2042,354375,34750,459,378833,3042,382167
18,167,10667,375,0,5542,5000,1917,357000,34500,458,381333,3209,384750
19,208,10584,417,0,5541,5000,2041,376167,34875,458,400583,3125,404000
20,167,10667,375,0,5583,4875,2000,301375,31625,333,325542,2499,328250
21,167,7416,333,0,4417,3917,1625,560167,35375,1000,579291,12042,591625
22,500,23000,375,0,5417,5041,4833,364917,35250,417,404416,3251,408375
23,167,9834,417,0,5625,4959,2000,319167,33792,417,342750,3208,346167
24,209,9708,375,0,5750,4959,2250,331250,35167,542,355250,3875,359334
25,125,10167,416,0,5500,5041,2292,348583,35458,500,372875,3125,376250
26,167,10583,375,0,5500,5000,2042,338791,33833,416,363042,3083,366333
27,125,24459,625,0,6375,5375,2875,338792,34917,459,379250,2791,382292
28,125,8916,334,0,4584,4459,1625,366083,37208,417,386750,4958,391917
29,125,9750,333,0,5583,5208,5667,309167,31750,500,336584,3791,340584
30,167,9500,458,0,5666,5000,2250,333000,34750,500,356708,3251,360250
31,208,11125,375,0,5583,4916,2042,343000,35125,542,368000,3667,371916
32,125,9667,542,0,6583,5125,2375,305916,32458,417,330875,3209,334333
33,166,9625,417,0,5750,5334,2166,343167,35208,459,367166,3126,370583
34,125,10375,375,0,5542,5000,2041,289667,31708,292,313625,2500,316375
35,125,7666,250,0,4416,3917,2042,292375,31625,500,311500,3917,315666
36,208,11375,459,0,6750,4958,2458,336083,32958,416,362917,3374,366583
37,209,10833,417,0,5792,5208,2084,345750,35417,458,370834,3083,374209
38,166,10958,375,0,5500,4917,1958,345833,35000,416,370250,3083,373625
39,166,10625,375,0,5500,4916,2000,350250,34833,459,374458,3167,377875
40,166,10791,417,0,5500,4875,1959,347834,34583,500,372125,3042,375458
41,167,10333,333,0,5417,4875,1958,313125,35250,291,336625,2459,339292
42,125,7458,292,0,4375,3917,1583,340916,34792,417,359250,2459,361958
43,125,7750,292,0,4291,4000,1500,499459,34833,500,518042,3124,521375
44,166,10958,375,0,5417,4958,1917,373917,35167,459,398333,3167,401750
45,125,11208,375,0,5709,5125,2000,351250,35375,417,376416,3209,379875
46,167,10375,375,0,5666,5083,2417,352792,35042,458,377459,3166,380917
47,125,10792,375,0,5542,5000,1958,364292,35000,458,388750,3042,392042
48,167,11000,375,0,5416,4917,2000,318083,31542,291,342417,2541,345209
49,125,7250,333,0,4333,3875,1500,342625,35458,417,360500,2542,363208
50,166,8583,292,0,4416,4042,1541,328458,34583,625,348250,3709,352166
51,83,10708,500,0,5625,5167,2375,282292,32250,416,307375,3667,311250
52,125,8875,333,0,5500,4916,2125,270625,33000,416,293042,3624,296917
53,167,8709,292,0,5416,4917,2084,275750,33125,458,297958,4125,302292
54,208,16000,458,0,5584,5083,2166,278167,32708,375,308125,3667,312041
55,167,9042,333,0,5458,4917,2083,269416,32167,375,291875,3500,295666
56,167,9167,334,0,5375,4917,2042,265958,32125,375,288500,3459,292250
57,125,8667,334,0,5458,4958,2125,305458,34875,416,327583,2834,330625
58,125,7833,333,0,4334,4084,2042,331125,34667,500,350542,4208,354959
59,167,10083,417,0,5583,4833,2500,349042,34875,459,373208,3251,376667
60,167,10875,375,0,5542,5000,2042,366875,35000,500,391584,3124,394959
61,167,10875,334,0,5500,5042,2209,353417,35250,459,378166,3042,381500
62,209,10000,375,0,5417,4916,1958,345708,35208,416,369167,3125,372584
63,166,10833,416,0,5458,4833,1917,346334,34667,583,370750,3750,374750
64,167,11000,417,0,5542,5000,2083,336208,32958,375,360875,2750,363834
65,125,8833,333,0,4541,4458,1708,372292,35583,500,393000,5542,398791
66,166,9208,375,0,5666,5250,5458,472541,34875,458,499292,3125,502708
67,166,14000,417,0,5500,5209,2042,348833,32875,458,376833,3125,380250
68,125,12875,417,0,5458,5166,2167,296584,32875,458,323458,3209,326916
69,166,12583,417,0,5500,5167,2583,307541,33000,458,334500,3167,337875
70,167,10750,375,0,5459,4959,1959,299750,33125,458,324084,3083,327417
71,208,11916,417,0,5500,5042,2084,308959,33042,334,334583,2667,337500
72,167,8375,334,0,4583,4166,1708,354042,34875,458,373958,5500,379708
73,250,8958,375,0,5584,5209,5625,295417,33000,459,321958,3959,326250
74,167,14458,417,0,5417,5042,2666,319333,34417,500,348125,4500,352917
75,166,9250,459,0,5875,5250,2666,331250,35042,500,355541,3167,358958
76,167,9625,375,0,5667,4916,2083,362167,35208,459,385583,3417,389292
77,125,10416,417,0,5709,5209,2000,337542,35250,458,362083,3250,365583
78,167,11084,375,0,5500,4958,2083,294958,32708,334,321166,2750,324208
79,125,8542,375,0,4500,4083,1875,300416,34333,458,320416,2584,323208
80,125,8000,292,0,4333,4167,2000,338500,34667,458,358042,4541,362833
81,167,10042,291,0,5458,5042,2500,345958,35167,416,370083,3250,373625
82,167,10000,375,0,5541,4958,2000,277666,32500,416,301333,3958,305583
83,166,9000,333,0,5458,5041,2125,283708,32750,459,306541,7876,314666
84,125,11750,417,0,5833,5291,2667,313459,35333,459,340166,3751,344166
85,167,8709,334,0,5625,5042,2292,278666,32667,333,301375,3791,305417
86,167,9417,375,0,5500,4917,2084,267625,32208,333,290625,3458,294375
87,125,8917,417,0,4291,3917,1709,268042,32750,416,288000,2709,290917
88,125,7417,292,0,4416,4000,1500,316667,32958,458,335000,3959,339166
89,125,8000,375,0,5375,5125,1959,289625,33042,458,311250,3083,314584
90,125,9375,458,0,5500,5041,2208,282667,33042,542,306084,4082,310417
91,125,13625,416,0,5583,5125,2125,341000,32625,458,368625,3292,372167
92,166,10875,334,0,5542,5083,2208,278583,32750,500,303458,4042,307750
93,166,13958,416,0,5500,5167,2250,279208,33042,416,307250,3875,311375
94,167,11583,375,0,5500,4917,2125,280917,32917,458,306209,3832,310250
95,125,12625,459,0,5500,5084,2167,281666,32125,291,308083,2500,310833
96,125,10458,334,0,4209,3959,1500,299875,32583,416,321000,2459,323666
97,125,7875,292,0,4250,4042,1541,301250,32500,458,320000,3125,323334
98,167,10375,375,0,5458,5041,2000,4341042,3383750,1041,4365708,12209,4378208
99,875,18208,625,0,6500,5625,2541,388042,37000,375,422334,2499,425917
