sample_index,elapsed_ns
0,433000
1,382125
2,407500
3,357167
4,421541
5,401666
6,380750
7,409166
8,401709
9,365667
10,373000
11,418334
12,398167
13,404459
14,337250
15,305875
16,314667
17,320333
18,422583
19,290167
20,327209
21,333459
22,332083
23,324291
24,316791
25,331333
26,333916
27,330167
28,331000
29,319958
30,331500
31,331500
32,323334
33,326750
34,331542
35,314750
36,311958
37,321000
38,296667
39,363541
40,302458
41,307041
42,309791
43,460042
44,318625
45,314250
46,309958
47,315208
48,315125
49,304542
50,310042
51,308583
52,312375
53,313542
54,316500
55,307916
56,317708
57,315958
58,327708
59,304792
60,316166
61,311666
62,306333
63,312667
64,321709
65,421625
66,364917
67,359291
68,293667
69,571125
70,370708
71,375917
72,273667
73,279708
74,279000
75,275250
76,283833
77,274125
78,279875
79,268334
80,311958
81,305917
82,285125
83,304666
84,304375
85,303000
86,287000
87,268542
88,268541
89,268708
90,269708
91,269542
92,274875
93,263916
94,247167
95,266709
96,268667
97,499375
98,305625
99,298542
