stage	event	scene	document	buffer	a	b	c
Atlas Publication Begin	0	1	0	0	40	0	0
Atlas Publication Complete	0	1	0	0	1	65536	1
Frame Build Begin	0	1	0	0	1148190720	1141309440	0
Frame Build Complete	0	1	0	0	45	40	0
Glyph Atlas Summary	0	1	0	0	22	24	70400
Layout Cache Summary	0	1	0	0	0	4	1536
Text Summary	0	1	0	0	5	24	4
Visible Layout Begin	0	1	0	0	0	0	0
Visible Layout Complete	0	1	0	0	4	0	0
Atlas Publication Begin	2	2	0	0	80	0	0
Atlas Publication Complete	2	2	0	0	2	22528	4
Event Dispatch Begin	2	0	0	0	9	1	0
Frame Build Begin	2	2	0	0	1148190720	1141309440	0
Frame Build Complete	2	2	0	0	86	80	0
Glyph Atlas Summary	2	2	0	0	80	9	75264
Layout Cache Summary	2	2	0	0	4	0	1952
Native Event Handler Latency	2	0	0	0	199333	0	0
Native Frame Queue Latency	2	0	0	0	59774833	0	0
Native GPU Terminal Observed Latency	2	0	0	0	68272500	0	0
Native Submission Latency	2	0	0	0	644042	0	0
Native Terminal Record Latency	2	0	0	0	68273375	0	0
State Mutation Complete	2	0	0	0	1	0	1
Text Summary	2	2	0	0	2	9	0
Visible Layout Begin	2	2	0	0	0	0	0
Visible Layout Complete	2	2	0	0	4	0	0
Event Dispatch Begin	3	0	0	0	7	1	0
State Mutation Complete	3	0	0	0	0	0	1
Event Dispatch Begin	4	0	0	0	9	1	0
State Mutation Complete	4	0	0	0	0	0	1
Event Dispatch Begin	5	0	0	0	2	1	0
State Mutation Complete	5	0	0	0	0	0	1
Event Dispatch Begin	6	0	0	0	2	1	0
State Mutation Complete	6	0	0	0	0	0	1
Event Dispatch Begin	7	0	0	0	2	1	0
State Mutation Complete	7	0	0	0	0	0	1
Event Dispatch Begin	8	0	0	0	2	1	0
State Mutation Complete	8	0	0	0	0	0	1
Event Dispatch Begin	9	0	0	0	2	1	0
State Mutation Complete	9	0	0	0	0	0	1
Event Dispatch Begin	10	0	0	0	2	1	0
State Mutation Complete	10	0	0	0	0	0	1
Event Dispatch Begin	11	0	0	0	2	1	0
State Mutation Complete	11	0	0	0	0	0	1
Event Dispatch Begin	12	0	0	0	2	1	0
State Mutation Complete	12	0	0	0	0	0	1
Event Dispatch Begin	13	0	0	0	2	1	0
State Mutation Complete	13	0	0	0	0	0	1
Event Dispatch Begin	14	0	0	0	2	1	0
State Mutation Complete	14	0	0	0	0	0	1
Event Dispatch Begin	15	0	0	0	2	1	0
State Mutation Complete	15	0	0	0	0	0	1
Event Dispatch Begin	16	0	0	0	2	1	0
State Mutation Complete	16	0	0	0	0	0	1
Event Dispatch Begin	17	0	0	0	2	1	0
State Mutation Complete	17	0	0	0	0	0	1
Event Dispatch Begin	18	0	0	0	2	1	0
State Mutation Complete	18	0	0	0	0	0	1
Event Dispatch Begin	19	0	0	0	2	1	0
State Mutation Complete	19	0	0	0	0	0	1
Event Dispatch Begin	20	0	0	0	2	1	0
State Mutation Complete	20	0	0	0	0	0	1
Event Dispatch Begin	21	0	0	0	2	1	0
State Mutation Complete	21	0	0	0	0	0	1
Event Dispatch Begin	22	0	0	0	2	1	0
State Mutation Complete	22	0	0	0	0	0	1
Event Dispatch Begin	23	0	0	0	2	1	0
State Mutation Complete	23	0	0	0	0	0	1
Event Dispatch Begin	24	0	0	0	2	1	0
State Mutation Complete	24	0	0	0	0	0	1
Event Dispatch Begin	25	0	0	0	2	1	0
State Mutation Complete	25	0	0	0	0	0	1
Event Dispatch Begin	26	0	0	0	2	1	0
State Mutation Complete	26	0	0	0	0	0	1
Event Dispatch Begin	27	0	0	0	2	1	0
State Mutation Complete	27	0	0	0	0	0	1
Event Dispatch Begin	28	0	0	0	2	1	0
State Mutation Complete	28	0	0	0	0	0	1
Event Dispatch Begin	29	0	0	0	2	1	0
State Mutation Complete	29	0	0	0	0	0	1
Event Dispatch Begin	30	0	0	0	2	1	0
State Mutation Complete	30	0	0	0	0	0	1
Event Dispatch Begin	31	0	0	0	2	1	0
State Mutation Complete	31	0	0	0	0	0	1
Event Dispatch Begin	32	0	0	0	2	1	0
State Mutation Complete	32	0	0	0	0	0	1
Event Dispatch Begin	33	0	0	0	2	1	0
State Mutation Complete	33	0	0	0	0	0	1
Event Dispatch Begin	34	0	0	0	2	1	0
State Mutation Complete	34	0	0	0	0	0	1
Event Dispatch Begin	35	0	0	0	2	1	0
State Mutation Complete	35	0	0	0	0	0	1
Event Dispatch Begin	36	0	0	0	2	1	0
State Mutation Complete	36	0	0	0	0	0	1
Atlas Publication Begin	37	3	0	0	80	0	0
Atlas Publication Complete	37	3	0	0	0	0	0
Event Dispatch Begin	37	0	0	0	4	1	0
Frame Build Begin	37	3	0	0	1148190720	1141309440	0
Frame Build Complete	37	3	0	0	85	80	0
Glyph Atlas Summary	37	3	0	0	89	0	75264
Layout Cache Summary	37	3	0	0	4	0	1952
Native Event Handler Latency	37	0	0	0	147875	0	0
Native Frame Queue Latency	37	0	0	0	3970292	0	0
Native GPU Terminal Observed Latency	37	0	0	0	10349292	0	0
Native Submission Latency	37	0	0	0	134041	0	0
Native Terminal Record Latency	37	0	0	0	18350292	0	0
State Mutation Complete	37	0	0	0	1	0	1
Text Summary	37	3	0	0	2	0	0
Visible Layout Begin	37	3	0	0	0	0	0
Visible Layout Complete	37	3	0	0	4	0	0
Event Dispatch Begin	38	0	0	0	8	1	0
State Mutation Complete	38	0	0	0	0	0	1
Event Dispatch Begin	39	0	0	0	8	1	0
State Mutation Complete	39	0	0	0	0	0	1
Event Dispatch Begin	40	0	0	0	8	1	0
State Mutation Complete	40	0	0	0	0	0	1
Event Dispatch Begin	41	0	0	0	8	1	0
State Mutation Complete	41	0	0	0	0	0	1
Event Dispatch Begin	42	0	0	0	8	1	0
State Mutation Complete	42	0	0	0	0	0	1
Event Dispatch Begin	43	0	0	0	8	1	0
State Mutation Complete	43	0	0	0	0	0	1
Event Dispatch Begin	44	0	0	0	8	1	0
State Mutation Complete	44	0	0	0	0	0	1
Event Dispatch Begin	45	0	0	0	8	1	0
