metric	event	duration_ns
atlas_publication	0	12041
atlas_publication	2	7833
atlas_publication	37	458
atlas_publication	80	1166
atlas_publication	82	541
atlas_publication	102	250
atlas_publication	112	4750
atlas_publication	122	458
atlas_publication	132	333
atlas_publication	142	7416
atlas_publication	152	666
atlas_publication	162	916
atlas_publication	172	125
atlas_publication	182	416
atlas_publication	192	666
atlas_publication	202	83
atlas_publication	212	41
atlas_publication	222	3166
atlas_publication	232	4125
atlas_publication	242	208
atlas_publication	252	41
atlas_publication	262	41
atlas_publication	272	333
atlas_publication	282	416
atlas_publication	292	125
atlas_publication	302	250
atlas_publication	312	41
atlas_publication	322	541
atlas_publication	332	4625
atlas_publication	342	458
atlas_publication	352	41
atlas_publication	362	83
atlas_publication	372	41
atlas_publication	382	250
atlas_publication	392	2333
atlas_publication	402	4791
atlas_publication	412	83
atlas_publication	422	4375
atlas_publication	432	5333
atlas_publication	442	125
atlas_publication	452	208
atlas_publication	462	333
atlas_publication	472	2708
atlas_publication	482	4041
atlas_publication	492	41
atlas_publication	502	3083
atlas_publication	512	83
atlas_publication	522	2666
atlas_publication	532	5708
atlas_publication	542	2625
atlas_publication	552	83
atlas_publication	562	458
atlas_publication	572	125
atlas_publication	582	333
atlas_publication	592	83
atlas_publication	602	208
atlas_publication	612	83
atlas_publication	622	250
atlas_publication	632	375
atlas_publication	642	83
atlas_publication	652	83
atlas_publication	662	2500
atlas_publication	672	291
atlas_publication	682	83
atlas_publication	692	416
atlas_publication	702	83
atlas_publication	712	250
atlas_publication	722	208
atlas_publication	732	3416
atlas_publication	742	291
atlas_publication	752	83
atlas_publication	762	208
atlas_publication	772	166
atlas_publication	782	250
atlas_publication	792	250
atlas_publication	802	8041
atlas_publication	812	208
atlas_publication	822	4500
event_to_frame_complete	2	190458
event_to_frame_complete	37	142791
event_to_frame_complete	80	228583
event_to_frame_complete	82	117416
event_to_frame_complete	102	157500
event_to_frame_complete	112	187666
event_to_frame_complete	122	233875
event_to_frame_complete	132	120708
event_to_frame_complete	142	109208
event_to_frame_complete	152	175208
event_to_frame_complete	162	281125
event_to_frame_complete	172	48416
event_to_frame_complete	182	193375
event_to_frame_complete	192	91458
event_to_frame_complete	202	46500
event_to_frame_complete	212	39416
event_to_frame_complete	222	163625
event_to_frame_complete	232	78458
event_to_frame_complete	242	35958
event_to_frame_complete	252	33583
event_to_frame_complete	262	36500
event_to_frame_complete	272	270916
event_to_frame_complete	282	55041
event_to_frame_complete	292	31916
event_to_frame_complete	302	101500
event_to_frame_complete	312	56916
event_to_frame_complete	322	145833
event_to_frame_complete	332	47791
event_to_frame_complete	342	56583
event_to_frame_complete	352	33958
event_to_frame_complete	362	30791
event_to_frame_complete	372	30583
event_to_frame_complete	382	108916
event_to_frame_complete	392	100250
event_to_frame_complete	402	54708
event_to_frame_complete	412	44583
event_to_frame_complete	422	153416
event_to_frame_complete	432	87750
event_to_frame_complete	442	198125
event_to_frame_complete	452	76583
event_to_frame_complete	462	78916
event_to_frame_complete	472	76000
event_to_frame_complete	482	141625
event_to_frame_complete	492	34250
event_to_frame_complete	502	124541
event_to_frame_complete	512	48416
event_to_frame_complete	522	112833
event_to_frame_complete	532	65166
event_to_frame_complete	542	133458
event_to_frame_complete	552	37541
event_to_frame_complete	562	93416
event_to_frame_complete	572	55791
event_to_frame_complete	582	103125
event_to_frame_complete	592	44666
event_to_frame_complete	602	72750
event_to_frame_complete	612	32666
event_to_frame_complete	622	114125
event_to_frame_complete	632	87416
event_to_frame_complete	642	48500
event_to_frame_complete	652	96083
event_to_frame_complete	662	111833
event_to_frame_complete	672	121500
event_to_frame_complete	682	38875
event_to_frame_complete	692	111458
event_to_frame_complete	702	64750
event_to_frame_complete	712	83958
event_to_frame_complete	722	45125
event_to_frame_complete	732	155958
event_to_frame_complete	742	106833
event_to_frame_complete	752	44833
event_to_frame_complete	762	117333
event_to_frame_complete	772	36250
event_to_frame_complete	782	106708
event_to_frame_complete	792	108083
event_to_frame_complete	802	111000
event_to_frame_complete	812	119416
event_to_frame_complete	822	207583
frame_build	0	949625
frame_build	2	181416
frame_build	37	125500
frame_build	80	202750
frame_build	82	100625
frame_build	102	121541
frame_build	112	184500
frame_build	122	224916
frame_build	132	109541
frame_build	142	97416
frame_build	152	168041
frame_build	162	262041
frame_build	172	45458
frame_build	182	182333
frame_build	192	84750
frame_build	202	40833
frame_build	212	37291
frame_build	222	153291
frame_build	232	75458
frame_build	242	33500
frame_build	252	31375
frame_build	262	30000
frame_build	272	251791
frame_build	282	50500
frame_build	292	29625
frame_build	302	93333
frame_build	312	54291
frame_build	322	135500
frame_build	332	43916
frame_build	342	52708
frame_build	352	31791
frame_build	362	28625
frame_build	372	28541
frame_build	382	101708
frame_build	392	97208
frame_build	402	52375
frame_build	412	41750
frame_build	422	133958
frame_build	432	83500
frame_build	442	160500
frame_build	452	73833
frame_build	462	69291
frame_build	472	73291
frame_build	482	133583
frame_build	492	31458
frame_build	502	112333
frame_build	512	44291
frame_build	522	108125
frame_build	532	60208
frame_build	542	124583
frame_build	552	34625
frame_build	562	81000
frame_build	572	52958
frame_build	582	87916
frame_build	592	40041
frame_build	602	65666
frame_build	612	30291
frame_build	622	104083
frame_build	632	75708
frame_build	642	44458
frame_build	652	87000
frame_build	662	108291
frame_build	672	106958
frame_build	682	36125
frame_build	692	96541
frame_build	702	59083
frame_build	712	76791
frame_build	722	42375
frame_build	732	148625
frame_build	742	95583
frame_build	752	41416
frame_build	762	107458
frame_build	772	33166
frame_build	782	100666
frame_build	792	98791
frame_build	802	107666
frame_build	812	106875
frame_build	822	188750
native_event_handler	2	199333
native_event_handler	37	147875
native_event_handler	80	238583
native_event_handler	82	120833
native_event_handler	112	188083
native_event_handler	142	110000
native_event_handler	182	193542
native_event_handler	212	39583
native_event_handler	262	36708
native_event_handler	312	57209
