metric	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns
atlas_publication	78	41	291	7416	12041	12041
event_to_frame_complete	77	30583	93416	228583	281125	281125
frame_build	78	28541	84750	224916	949625	949625
native_event_handler	23	32833	65375	208000	238583	238583
native_frame_queue	23	81542	155000	23073125	59774833	59774833
native_gpu_terminal_observed	23	8293417	8636250	34091708	68272500	68272500
native_submission	23	62792	98667	193709	644042	644042
native_terminal_record	23	8295083	8637708	42425042	68273375	68273375
state_mutation	904	625	1916	13166	20708	8533416
visible_layout	78	17000	35000	106833	151125	151125
