stage	event	scene	document	buffer	a	b	c
Atlas Publication Begin	0	1	0	0	38	0	0
Atlas Publication Complete	0	1	0	0	1	65536	1
Frame Build Begin	0	1	0	0	1148190720	1141309440	0
Frame Build Complete	0	1	0	0	43	38	0
Glyph Atlas Summary	0	1	0	0	22	22	70400
Layout Cache Summary	0	1	0	0	0	4	1536
Text Summary	0	1	0	0	5	22	4
Visible Layout Begin	0	1	0	0	0	0	0
Visible Layout Complete	0	1	0	0	4	0	0
Atlas Publication Begin	2	2	0	0	78	0	0
Atlas Publication Complete	2	2	0	0	2	16384	3
Event Dispatch Begin	2	0	0	0	9	1	0
Frame Build Begin	2	2	0	0	1148190720	1141309440	0
Frame Build Complete	2	2	0	0	84	78	0
Glyph Atlas Summary	2	2	0	0	77	10	70400
Layout Cache Summary	2	2	0	0	4	0	1952
Native Display Link Target Latency	2	0	0	0	68940583	0	0
Native Event Handler Latency	2	0	0	0	299333	0	0
Native Frame Queue Latency	2	0	0	0	60864792	0	0
Native GPU Terminal Observed Latency	2	0	0	0	77319375	0	0
Native Presented Handler Latency	2	0	0	0	68976292	0	0
Native Submission Latency	2	0	0	0	721500	0	0
Native Target Presentation Latency	2	0	0	0	102273833	0	0
Native Terminal Record Latency	2	0	0	0	77320083	0	0
State Mutation Complete	2	0	0	0	1	0	1
Text Summary	2	2	0	0	2	10	0
Visible Layout Begin	2	2	0	0	0	0	0
Visible Layout Complete	2	2	0	0	4	0	0
Event Dispatch Begin	3	0	0	0	1	1	0
State Mutation Complete	3	0	0	0	0	0	1
Event Dispatch Begin	4	0	0	0	1	1	0
State Mutation Complete	4	0	0	0	0	0	1
Event Dispatch Begin	5	0	0	0	9	1	0
State Mutation Complete	5	0	0	0	0	0	1
Event Dispatch Begin	6	0	0	0	7	1	0
State Mutation Complete	6	0	0	0	0	0	1
Event Dispatch Begin	7	0	0	0	1	1	0
State Mutation Complete	7	0	0	0	0	0	1
Event Dispatch Begin	8	0	0	0	1	1	0
State Mutation Complete	8	0	0	0	0	0	1
Event Dispatch Begin	9	0	0	0	1	1	0
State Mutation Complete	9	0	0	0	0	0	1
Event Dispatch Begin	10	0	0	0	1	1	0
State Mutation Complete	10	0	0	0	0	0	1
Event Dispatch Begin	11	0	0	0	1	1	0
State Mutation Complete	11	0	0	0	0	0	1
Event Dispatch Begin	12	0	0	0	1	1	0
State Mutation Complete	12	0	0	0	0	0	1
Event Dispatch Begin	13	0	0	0	2	1	0
State Mutation Complete	13	0	0	0	0	0	1
Event Dispatch Begin	14	0	0	0	2	1	0
State Mutation Complete	14	0	0	0	0	0	1
Event Dispatch Begin	15	0	0	0	2	1	0
State Mutation Complete	15	0	0	0	0	0	1
Event Dispatch Begin	16	0	0	0	2	1	0
State Mutation Complete	16	0	0	0	0	0	1
Event Dispatch Begin	17	0	0	0	2	1	0
State Mutation Complete	17	0	0	0	0	0	1
Event Dispatch Begin	18	0	0	0	2	1	0
State Mutation Complete	18	0	0	0	0	0	1
Event Dispatch Begin	19	0	0	0	2	1	0
State Mutation Complete	19	0	0	0	0	0	1
Event Dispatch Begin	20	0	0	0	2	1	0
State Mutation Complete	20	0	0	0	0	0	1
Event Dispatch Begin	21	0	0	0	2	1	0
State Mutation Complete	21	0	0	0	0	0	1
Event Dispatch Begin	22	0	0	0	2	1	0
State Mutation Complete	22	0	0	0	0	0	1
Event Dispatch Begin	23	0	0	0	2	1	0
State Mutation Complete	23	0	0	0	0	0	1
Event Dispatch Begin	24	0	0	0	2	1	0
State Mutation Complete	24	0	0	0	0	0	1
Event Dispatch Begin	25	0	0	0	2	1	0
State Mutation Complete	25	0	0	0	0	0	1
Event Dispatch Begin	26	0	0	0	2	1	0
State Mutation Complete	26	0	0	0	0	0	1
Event Dispatch Begin	27	0	0	0	2	1	0
State Mutation Complete	27	0	0	0	0	0	1
Event Dispatch Begin	28	0	0	0	2	1	0
State Mutation Complete	28	0	0	0	0	0	1
Event Dispatch Begin	29	0	0	0	2	1	0
State Mutation Complete	29	0	0	0	0	0	1
Atlas Publication Begin	30	3	0	0	78	0	0
Atlas Publication Complete	30	3	0	0	0	0	0
Event Dispatch Begin	30	0	0	0	4	1	0
Frame Build Begin	30	3	0	0	1148190720	1141309440	0
Frame Build Complete	30	3	0	0	83	78	0
Glyph Atlas Summary	30	3	0	0	87	0	70400
Layout Cache Summary	30	3	0	0	4	0	1952
Native Display Link Target Latency	30	0	0	0	15316833	0	0
Native Event Handler Latency	30	0	0	0	149917	0	0
Native Frame Queue Latency	30	0	0	0	6955542	0	0
Native GPU Terminal Observed Latency	30	0	0	0	16935000	0	0
Native Presented Handler Latency	30	0	0	0	15374167	0	0
Native Submission Latency	30	0	0	0	191583	0	0
Native Target Presentation Latency	30	0	0	0	48650083	0	0
Native Terminal Record Latency	30	0	0	0	16937167	0	0
State Mutation Complete	30	0	0	0	1	0	1
Text Summary	30	3	0	0	2	0	0
Visible Layout Begin	30	3	0	0	0	0	0
Visible Layout Complete	30	3	0	0	4	0	0
Event Dispatch Begin	31	0	0	0	8	1	0
State Mutation Complete	31	0	0	0	0	0	1
Event Dispatch Begin	32	0	0	0	8	1	0
State Mutation Complete	32	0	0	0	0	0	1
Event Dispatch Begin	33	0	0	0	8	1	0
State Mutation Complete	33	0	0	0	0	0	1
Event Dispatch Begin	34	0	0	0	8	1	0
State Mutation Complete	34	0	0	0	0	0	1
Event Dispatch Begin	35	0	0	0	8	1	0
State Mutation Complete	35	0	0	0	0	0	1
Event Dispatch Begin	36	0	0	0	8	1	0
State Mutation Complete	36	0	0	0	0	0	1
Event Dispatch Begin	37	0	0	0	8	1	0
State Mutation Complete	37	0	0	0	0	0	1
Event Dispatch Begin	38	0	0	0	8	1	0
State Mutation Complete	38	0	0	0	0	0	1
Event Dispatch Begin	39	0	0	0	8	1	0
State Mutation Complete	39	0	0	0	0	0	1
Event Dispatch Begin	40	0	0	0	8	1	0
State Mutation Complete	40	0	0	0	0	0	1
Event Dispatch Begin	41	0	0	0	8	1	0
State Mutation Complete	41	0	0	0	0	0	1
Event Dispatch Begin	42	0	0	0	8	1	0
State Mutation Complete	42	0	0	0	0	0	1
Event Dispatch Begin	43	0	0	0	8	1	0
State Mutation Complete	43	0	0	0	0	0	1
Event Dispatch Begin	44	0	0	0	8	1	0
State Mutation Complete	44	0	0	0	0	0	1
Event Dispatch Begin	45	0	0	0	8	1	0
State Mutation Complete	45	0	0	0	0	0	1
Event Dispatch Begin	46	0	0	0	8	1	0
State Mutation Complete	46	0	0	0	0	0	1
Event Dispatch Begin	47	0	0	0	8	1	0
State Mutation Complete	47	0	0	0	0	0	1
Event Dispatch Begin	48	0	0	0	8	1	0
State Mutation Complete	48	0	0	0	0	0	1
Event Dispatch Begin	49	0	0	0	8	1	0
State Mutation Complete	49	0	0	0	0	0	1
Event Dispatch Begin	50	0	0	0	8	1	0
State Mutation Complete	50	0	0	0	0	0	1
Event Dispatch Begin	51	0	0	0	8	1	0
State Mutation Complete	51	0	0	0	0	0	1
Event Dispatch Begin	52	0	0	0	8	1	0
State Mutation Complete	52	0	0	0	0	0	1
Event Dispatch Begin	53	0	0	0	8	1	0
State Mutation Complete	53	0	0	0	0	0	1
Event Dispatch Begin	54	0	0	0	8	1	0
State Mutation Complete	54	0	0	0	0	0	1
Event Dispatch Begin	55	0	0	0	8	1	0
State Mutation Complete	55	0	0	0	0	0	1
Event Dispatch Begin	56	0	0	0	8	1	0
State Mutation Complete	56	0	0	0	0	0	1
Event Dispatch Begin	57	0	0	0	8	1	0
State Mutation Complete	57	0	0	0	0	0	1
Event Dispatch Begin	58	0	0	0	8	1	0
State Mutation Complete	58	0	0	0	0	0	1
Event Dispatch Begin	59	0	0	0	8	1	0
State Mutation Complete	59	0	0	0	0	0	1
Event Dispatch Begin	60	0	0	0	8	1	0
State Mutation Complete	60	0	0	0	0	0	1
Event Dispatch Begin	61	0	0	0	8	1	0
State Mutation Complete	61	0	0	0	0	0	1
Event Dispatch Begin	62	0	0	0	8	1	0
State Mutation Complete	62	0	0	0	0	0	1
Event Dispatch Begin	63	0	0	0	8	1	0
State Mutation Complete	63	0	0	0	0	0	1
Event Dispatch Begin	64	0	0	0	8	1	0
State Mutation Complete	64	0	0	0	0	0	1
Event Dispatch Begin	65	0	0	0	8	1	0
State Mutation Complete	65	0	0	0	0	0	1
Event Dispatch Begin	66	0	0	0	8	1	0
State Mutation Complete	66	0	0	0	0	0	1
Event Dispatch Begin	67	0	0	0	8	1	0
State Mutation Complete	67	0	0	0	0	0	1
Event Dispatch Begin	68	0	0	0	8	1	0
State Mutation Complete	68	0	0	0	0	0	1
Event Dispatch Begin	69	0	0	0	8	1	0
State Mutation Complete	69	0	0	0	0	0	1
Event Dispatch Begin	70	0	0	0	8	1	0
State Mutation Complete	70	0	0	0	0	0	1
Event Dispatch Begin	71	0	0	0	2	1	0
State Mutation Complete	71	0	0	0	0	0	1
Event Dispatch Begin	72	0	0	0	8	1	0
State Mutation Complete	72	0	0	0	0	0	1
Atlas Publication Begin	73	4	0	0	78	0	0
Atlas Publication Complete	73	4	0	0	0	0	0
Event Dispatch Begin	73	0	0	0	4	1	0
Frame Build Begin	73	4	0	0	1148190720	1141309440	0
Frame Build Complete	73	4	0	0	84	78	0
Glyph Atlas Summary	73	4	0	0	87	0	70400
Layout Cache Summary	73	4	0	0	4	0	1952
Native Display Link Target Latency	73	0	0	0	19507542	0	0
Native Event Handler Latency	73	0	0	0	396166	0	0
Native Frame Queue Latency	73	0	0	0	10907667	0	0
