event	missing_stage
2	Native Actual Presentation Latency
2	Native Presentation Callback Lag
30	Native Actual Presentation Latency
30	Native Presentation Callback Lag
73	Native Actual Presentation Latency
73	Native Presentation Callback Lag
81	Native Actual Presentation Latency
81	Native Presentation Callback Lag
337	Native Actual Presentation Latency
337	Native Display Link Target Latency
337	Native Event Handler Latency
337	Native Frame Queue Latency
337	Native GPU Terminal Observed Latency
337	Native Presentation Callback Lag
337	Native Presented Handler Latency
337	Native Submission Latency
337	Native Target Presentation Latency
337	Native Terminal Record Latency
347	Native Actual Presentation Latency
347	Native Display Link Target Latency
347	Native Event Handler Latency
347	Native Frame Queue Latency
347	Native GPU Terminal Observed Latency
347	Native Presentation Callback Lag
347	Native Presented Handler Latency
347	Native Submission Latency
347	Native Target Presentation Latency
347	Native Terminal Record Latency
367	Native Actual Presentation Latency
367	Native Display Link Target Latency
367	Native Event Handler Latency
367	Native Frame Queue Latency
367	Native GPU Terminal Observed Latency
367	Native Presentation Callback Lag
367	Native Presented Handler Latency
367	Native Submission Latency
367	Native Target Presentation Latency
367	Native Terminal Record Latency
377	Native Actual Presentation Latency
377	Native Display Link Target Latency
377	Native Event Handler Latency
377	Native Frame Queue Latency
377	Native GPU Terminal Observed Latency
377	Native Presentation Callback Lag
377	Native Presented Handler Latency
377	Native Submission Latency
377	Native Target Presentation Latency
377	Native Terminal Record Latency
387	Native Actual Presentation Latency
387	Native Display Link Target Latency
387	Native Event Handler Latency
387	Native Frame Queue Latency
387	Native GPU Terminal Observed Latency
387	Native Presentation Callback Lag
387	Native Presented Handler Latency
387	Native Submission Latency
387	Native Target Presentation Latency
387	Native Terminal Record Latency
397	Native Actual Presentation Latency
397	Native Display Link Target Latency
397	Native Event Handler Latency
397	Native Frame Queue Latency
397	Native GPU Terminal Observed Latency
397	Native Presentation Callback Lag
397	Native Presented Handler Latency
397	Native Submission Latency
397	Native Target Presentation Latency
397	Native Terminal Record Latency
417	Native Actual Presentation Latency
417	Native Display Link Target Latency
417	Native Event Handler Latency
417	Native Frame Queue Latency
417	Native GPU Terminal Observed Latency
417	Native Presentation Callback Lag
417	Native Presented Handler Latency
417	Native Submission Latency
417	Native Target Presentation Latency
417	Native Terminal Record Latency
427	Native Actual Presentation Latency
427	Native Display Link Target Latency
427	Native Event Handler Latency
427	Native Frame Queue Latency
427	Native GPU Terminal Observed Latency
427	Native Presentation Callback Lag
427	Native Presented Handler Latency
427	Native Submission Latency
427	Native Target Presentation Latency
427	Native Terminal Record Latency
447	Native Actual Presentation Latency
447	Native Display Link Target Latency
447	Native Event Handler Latency
447	Native Frame Queue Latency
447	Native GPU Terminal Observed Latency
447	Native Presentation Callback Lag
447	Native Presented Handler Latency
447	Native Submission Latency
447	Native Target Presentation Latency
447	Native Terminal Record Latency
457	Native Actual Presentation Latency
457	Native Display Link Target Latency
457	Native Event Handler Latency
457	Native Frame Queue Latency
457	Native GPU Terminal Observed Latency
457	Native Presentation Callback Lag
457	Native Presented Handler Latency
457	Native Submission Latency
457	Native Target Presentation Latency
457	Native Terminal Record Latency
477	Native Actual Presentation Latency
477	Native Display Link Target Latency
477	Native Event Handler Latency
477	Native Frame Queue Latency
477	Native GPU Terminal Observed Latency
477	Native Presentation Callback Lag
477	Native Presented Handler Latency
477	Native Submission Latency
477	Native Target Presentation Latency
477	Native Terminal Record Latency
487	Native Actual Presentation Latency
