event	target_minus_display_link_ns	actual_minus_target_ns
75	33333250	-84
89	33333250	8333166
99	33333250	8333083
109	33333250	-333
119	33333250	-42
129	33333250	-167
139	33333250	0
149	33333250	-125
159	33333250	-291
169	33333250	-42
179	33333250	-167
189	33333250	-83
199	33333250	-166
209	33333250	-250
219	33333250	-458
229	33333250	-625
239	33333250	8333292
249	33333250	-167
259	33333250	-292
269	33333250	-417
279	33333250	-42
289	33333250	-209
299	33333250	-292
309	33333250	-417
317	33333250	-584
327	33333250	-625
357	33333250	-625
407	33333250	-750
437	33333250	-750
467	33333250	-833
507	33333250	-833
547	33333250	-833
587	33333250	-958
617	33333250	-1000
647	33333250	-1042
685	33333250	-1084
701	33333250	-1167
725	33333250	-1208
741	33333250	-1250
757	33333250	-1250
773	33333250	-1334
801	33333250	-1417
831	33333250	-1417
894	33333250	4166542
