metric	event	duration_ns
atlas_publication	0	19958
atlas_publication	2	7291
atlas_publication	30	6291
atlas_publication	73	708
atlas_publication	75	541
atlas_publication	81	541
atlas_publication	89	333
atlas_publication	99	375
atlas_publication	109	208
atlas_publication	119	375
atlas_publication	129	250
atlas_publication	139	250
atlas_publication	149	250
atlas_publication	159	666
atlas_publication	169	208
atlas_publication	179	333
atlas_publication	189	18333
atlas_publication	199	27750
atlas_publication	209	291
atlas_publication	219	625
atlas_publication	229	583
atlas_publication	239	500
atlas_publication	249	583
atlas_publication	259	291
atlas_publication	269	4916
atlas_publication	279	583
atlas_publication	289	11708
atlas_publication	299	6000
atlas_publication	309	541
atlas_publication	317	708
atlas_publication	327	291
atlas_publication	337	208
atlas_publication	347	291
atlas_publication	357	208
atlas_publication	367	333
atlas_publication	377	208
atlas_publication	387	333
atlas_publication	397	291
atlas_publication	407	625
atlas_publication	417	11833
atlas_publication	427	6041
atlas_publication	437	666
atlas_publication	447	208
atlas_publication	457	708
atlas_publication	467	333
atlas_publication	477	416
atlas_publication	487	6208
atlas_publication	497	791
atlas_publication	507	833
atlas_publication	517	250
atlas_publication	527	375
atlas_publication	537	416
atlas_publication	547	32750
atlas_publication	557	24875
atlas_publication	567	458
atlas_publication	577	10333
atlas_publication	587	23125
atlas_publication	597	5333
atlas_publication	607	708
atlas_publication	617	8208
atlas_publication	627	375
atlas_publication	637	10541
atlas_publication	647	13541
atlas_publication	657	10875
atlas_publication	667	7125
atlas_publication	677	18750
atlas_publication	685	541
atlas_publication	693	333
atlas_publication	701	291
atlas_publication	709	416
atlas_publication	717	666
atlas_publication	725	708
atlas_publication	733	583
atlas_publication	741	708
atlas_publication	749	708
atlas_publication	757	375
atlas_publication	765	750
atlas_publication	773	375
atlas_publication	781	791
atlas_publication	791	250
atlas_publication	801	8041
atlas_publication	811	291
atlas_publication	821	708
atlas_publication	831	666
atlas_publication	876	14666
atlas_publication	884	541
atlas_publication	894	64875
event_to_frame_complete	2	292208
event_to_frame_complete	30	145666
event_to_frame_complete	73	390041
event_to_frame_complete	75	297375
event_to_frame_complete	81	196125
event_to_frame_complete	89	202750
event_to_frame_complete	99	137875
event_to_frame_complete	109	140125
event_to_frame_complete	119	136833
event_to_frame_complete	129	156916
event_to_frame_complete	139	132291
event_to_frame_complete	149	146416
event_to_frame_complete	159	262208
event_to_frame_complete	169	231958
event_to_frame_complete	179	136000
event_to_frame_complete	189	370333
event_to_frame_complete	199	402375
event_to_frame_complete	209	177958
event_to_frame_complete	219	229541
event_to_frame_complete	229	231208
event_to_frame_complete	239	153791
event_to_frame_complete	249	360083
event_to_frame_complete	259	140250
event_to_frame_complete	269	326875
event_to_frame_complete	279	250250
event_to_frame_complete	289	391375
event_to_frame_complete	299	270708
event_to_frame_complete	309	291416
event_to_frame_complete	317	329625
event_to_frame_complete	327	162541
event_to_frame_complete	337	139583
event_to_frame_complete	347	105583
event_to_frame_complete	357	134958
event_to_frame_complete	367	126125
event_to_frame_complete	377	105500
event_to_frame_complete	387	152500
event_to_frame_complete	397	144625
event_to_frame_complete	407	117000
event_to_frame_complete	417	357666
event_to_frame_complete	427	293375
event_to_frame_complete	437	217583
event_to_frame_complete	447	165375
event_to_frame_complete	457	218250
event_to_frame_complete	467	176458
event_to_frame_complete	477	146416
event_to_frame_complete	487	204375
event_to_frame_complete	497	138291
event_to_frame_complete	507	214375
event_to_frame_complete	517	158833
event_to_frame_complete	527	104833
event_to_frame_complete	537	141291
event_to_frame_complete	547	364166
event_to_frame_complete	557	492708
event_to_frame_complete	567	192500
event_to_frame_complete	577	298958
event_to_frame_complete	587	356500
event_to_frame_complete	597	222291
event_to_frame_complete	607	336083
event_to_frame_complete	617	364000
event_to_frame_complete	627	207375
event_to_frame_complete	637	304875
event_to_frame_complete	647	233083
event_to_frame_complete	657	200166
event_to_frame_complete	667	360875
event_to_frame_complete	677	317666
event_to_frame_complete	685	341541
event_to_frame_complete	693	141000
event_to_frame_complete	701	136875
event_to_frame_complete	709	154541
event_to_frame_complete	717	302375
event_to_frame_complete	725	173833
event_to_frame_complete	733	287291
event_to_frame_complete	741	289833
event_to_frame_complete	749	329666
event_to_frame_complete	757	151291
event_to_frame_complete	765	282625
event_to_frame_complete	773	139583
event_to_frame_complete	781	316458
event_to_frame_complete	791	249291
event_to_frame_complete	801	117083
event_to_frame_complete	811	138625
event_to_frame_complete	821	304875
event_to_frame_complete	831	301583
event_to_frame_complete	876	692791
event_to_frame_complete	884	269125
event_to_frame_complete	894	13577875
frame_build	0	1653000
frame_build	2	273208
frame_build	30	130666
frame_build	73	369958
frame_build	75	261291
frame_build	81	179333
frame_build	89	166541
frame_build	99	124416
frame_build	109	127291
frame_build	119	123125
frame_build	129	140333
frame_build	139	119333
frame_build	149	131916
frame_build	159	239416
frame_build	169	195208
frame_build	179	122250
frame_build	189	357000
frame_build	199	388291
frame_build	209	150541
frame_build	219	212041
frame_build	229	206916
frame_build	239	140291
frame_build	249	327541
frame_build	259	126250
frame_build	269	303791
frame_build	279	223541
frame_build	289	374833
frame_build	299	253625
frame_build	309	267000
frame_build	317	295375
frame_build	327	141625
frame_build	337	127666
frame_build	347	98583
frame_build	357	124666
frame_build	367	117250
frame_build	377	99041
frame_build	387	140083
frame_build	397	135208
frame_build	407	81666
frame_build	417	340125
frame_build	427	280583
frame_build	437	196750
frame_build	447	153166
frame_build	457	204500
frame_build	467	155166
frame_build	477	136083
frame_build	487	181541
frame_build	497	129291
frame_build	507	200708
frame_build	517	146541
frame_build	527	97458
frame_build	537	132250
frame_build	547	333416
frame_build	557	471250
frame_build	567	181166
frame_build	577	281291
frame_build	587	337375
frame_build	597	210291
frame_build	607	315916
frame_build	617	342041
frame_build	627	185666
frame_build	637	295708
frame_build	647	214291
frame_build	657	191375
frame_build	667	346833
frame_build	677	303083
frame_build	685	296791
frame_build	693	123625
frame_build	701	120625
frame_build	709	133250
frame_build	717	270166
frame_build	725	155500
frame_build	733	254625
frame_build	741	257666
frame_build	749	296666
frame_build	757	135375
frame_build	765	250666
frame_build	773	123791
frame_build	781	268541
frame_build	791	224250
frame_build	801	110208
frame_build	811	129750
frame_build	821	288250
frame_build	831	248333
frame_build	876	639416
frame_build	884	219333
frame_build	894	13555416
native_actual_presentation	75	44471083
native_actual_presentation	89	59381083
native_actual_presentation	99	62497208
native_actual_presentation	109	45977500
native_actual_presentation	119	49229208
native_actual_presentation	129	43290250
native_actual_presentation	139	45978458
native_actual_presentation	149	41726250
native_actual_presentation	159	45912542
native_actual_presentation	169	45880083
native_actual_presentation	179	42463250
native_actual_presentation	189	49357000
native_actual_presentation	199	41840292
native_actual_presentation	209	44167333
native_actual_presentation	219	44000042
native_actual_presentation	229	43347250
native_actual_presentation	239	54144125
native_actual_presentation	249	45690500
native_actual_presentation	259	42651750
native_actual_presentation	269	42541875
native_actual_presentation	279	45860250
native_actual_presentation	289	41872333
native_actual_presentation	299	44183625
native_actual_presentation	309	43242208
native_actual_presentation	317	42678958
native_actual_presentation	327	50096583
native_actual_presentation	357	45940083
native_actual_presentation	407	45282917
native_actual_presentation	437	45323250
native_actual_presentation	467	45680542
native_actual_presentation	507	45570750
native_actual_presentation	547	45658625
native_actual_presentation	587	45029750
native_actual_presentation	617	44750208
native_actual_presentation	647	45846333
native_actual_presentation	685	42667833
native_actual_presentation	701	45802500
native_actual_presentation	725	44494000
native_actual_presentation	741	45700250
native_actual_presentation	757	45648500
native_actual_presentation	773	45750083
native_actual_presentation	801	45127500
native_actual_presentation	831	44895083
native_actual_presentation	894	73196792
native_display_link_target	2	68940583
native_display_link_target	30	15316833
native_display_link_target	73	19507542
native_display_link_target	75	11137917
native_display_link_target	81	20370083
native_display_link_target	89	17714667
native_display_link_target	99	20830875
native_display_link_target	109	12644583
native_display_link_target	119	15896000
native_display_link_target	129	9957167
native_display_link_target	139	12645208
native_display_link_target	149	8393125
native_display_link_target	159	12579583
native_display_link_target	169	12546875
native_display_link_target	179	9130167
native_display_link_target	189	16023833
native_display_link_target	199	8507208
native_display_link_target	209	10834333
native_display_link_target	219	10667250
native_display_link_target	229	10014625
native_display_link_target	239	12477583
native_display_link_target	249	12357417
native_display_link_target	259	9318792
native_display_link_target	269	9209042
native_display_link_target	279	12527042
native_display_link_target	289	8539292
native_display_link_target	299	10850667
native_display_link_target	309	9909375
native_display_link_target	317	9346292
native_display_link_target	327	16763958
native_display_link_target	357	12607458
native_display_link_target	407	11950417
native_display_link_target	437	11990750
native_display_link_target	467	12348125
native_display_link_target	507	12238333
native_display_link_target	547	12326208
native_display_link_target	587	11697458
native_display_link_target	617	11417958
native_display_link_target	647	12514125
native_display_link_target	685	9335667
native_display_link_target	701	12470417
native_display_link_target	725	11161958
native_display_link_target	741	12368250
native_display_link_target	757	12316500
native_display_link_target	773	12418167
native_display_link_target	801	11795667
native_display_link_target	831	11563250
native_display_link_target	884	7729500
native_display_link_target	894	35697000
native_event_handler	2	299333
native_event_handler	30	149917
native_event_handler	73	396166
native_event_handler	75	338875
native_event_handler	81	200958
native_event_handler	89	207000
native_event_handler	99	138833
native_event_handler	109	140792
native_event_handler	119	137792
native_event_handler	129	157833
native_event_handler	139	132875
native_event_handler	149	147417
native_event_handler	159	263833
native_event_handler	169	233625
native_event_handler	179	136666
native_event_handler	189	371250
native_event_handler	199	403917
native_event_handler	209	179250
native_event_handler	219	230792
native_event_handler	229	232292
native_event_handler	239	154500
native_event_handler	249	362416
native_event_handler	259	141417
native_event_handler	269	328500
native_event_handler	279	251875
native_event_handler	289	392375
native_event_handler	299	287500
native_event_handler	309	292958
native_event_handler	317	332041
native_event_handler	327	163167
native_event_handler	357	135834
native_event_handler	407	117500
native_event_handler	437	219167
