metric	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns
atlas_publication	87	208	583	23125	64875	64875
event_to_frame_complete	86	104833	217583	391375	13577875	13577875
frame_build	87	81666	200708	388291	13555416	13555416
native_actual_presentation	44	41726250	45323250	59381083	73196792	73196792
native_display_link_target	49	7729500	12316500	20830875	68940583	68940583
native_event_handler	49	117500	230792	396166	13582584	13582584
native_frame_queue	49	186125	3774709	12571667	60864792	60864792
native_gpu_terminal_observed	49	8474542	12423791	35794959	77319375	77319375
native_presentation_callback_lag	44	180208	235750	317042	335625	335625
native_presented_handler	49	15374167	45465208	62787667	73480625	73480625
native_submission	49	103291	194416	444083	721500	721500
native_target_presentation	49	41062750	45649750	54164125	102273833	102273833
native_terminal_record	49	9661708	17788542	44141250	77320083	77320083
state_mutation	940	1208	7625	21916	35291	6427833
visible_layout	87	27916	93625	239666	13365666	13365666
