event	missing_stage
2	Native Actual Presentation Latency
2	Native Presentation Callback Lag
47	Native Actual Presentation Latency
47	Native Presentation Callback Lag
53	Native Actual Presentation Latency
53	Native Display Link Target Latency
53	Native Event Handler Latency
53	Native Frame Queue Latency
53	Native GPU Terminal Observed Latency
53	Native Presentation Callback Lag
53	Native Presented Handler Latency
53	Native Submission Latency
53	Native Target Presentation Latency
53	Native Terminal Record Latency
61	Native Actual Presentation Latency
61	Native Display Link Target Latency
61	Native Event Handler Latency
61	Native Frame Queue Latency
61	Native GPU Terminal Observed Latency
61	Native Presentation Callback Lag
61	Native Presented Handler Latency
61	Native Submission Latency
61	Native Target Presentation Latency
61	Native Terminal Record Latency
71	Native Actual Presentation Latency
71	Native Presentation Callback Lag
309	Native Actual Presentation Latency
309	Native Display Link Target Latency
309	Native Event Handler Latency
309	Native Frame Queue Latency
309	Native GPU Terminal Observed Latency
309	Native Presentation Callback Lag
309	Native Presented Handler Latency
309	Native Submission Latency
309	Native Target Presentation Latency
309	Native Terminal Record Latency
319	Native Actual Presentation Latency
319	Native Display Link Target Latency
319	Native Event Handler Latency
319	Native Frame Queue Latency
319	Native GPU Terminal Observed Latency
319	Native Presentation Callback Lag
319	Native Presented Handler Latency
319	Native Submission Latency
319	Native Target Presentation Latency
319	Native Terminal Record Latency
329	Native Actual Presentation Latency
329	Native Display Link Target Latency
329	Native Event Handler Latency
329	Native Frame Queue Latency
329	Native GPU Terminal Observed Latency
329	Native Presentation Callback Lag
329	Native Presented Handler Latency
329	Native Submission Latency
329	Native Target Presentation Latency
329	Native Terminal Record Latency
349	Native Actual Presentation Latency
349	Native Display Link Target Latency
349	Native Event Handler Latency
349	Native Frame Queue Latency
349	Native GPU Terminal Observed Latency
349	Native Presentation Callback Lag
349	Native Presented Handler Latency
349	Native Submission Latency
349	Native Target Presentation Latency
349	Native Terminal Record Latency
359	Native Actual Presentation Latency
359	Native Display Link Target Latency
359	Native Event Handler Latency
359	Native Frame Queue Latency
359	Native GPU Terminal Observed Latency
359	Native Presentation Callback Lag
359	Native Presented Handler Latency
359	Native Submission Latency
359	Native Target Presentation Latency
359	Native Terminal Record Latency
379	Native Actual Presentation Latency
379	Native Display Link Target Latency
379	Native Event Handler Latency
379	Native Frame Queue Latency
379	Native GPU Terminal Observed Latency
379	Native Presentation Callback Lag
379	Native Presented Handler Latency
379	Native Submission Latency
379	Native Target Presentation Latency
379	Native Terminal Record Latency
389	Native Actual Presentation Latency
389	Native Display Link Target Latency
389	Native Event Handler Latency
389	Native Frame Queue Latency
389	Native GPU Terminal Observed Latency
389	Native Presentation Callback Lag
389	Native Presented Handler Latency
389	Native Submission Latency
389	Native Target Presentation Latency
389	Native Terminal Record Latency
399	Native Actual Presentation Latency
399	Native Display Link Target Latency
399	Native Event Handler Latency
399	Native Frame Queue Latency
399	Native GPU Terminal Observed Latency
399	Native Presentation Callback Lag
399	Native Presented Handler Latency
399	Native Submission Latency
399	Native Target Presentation Latency
399	Native Terminal Record Latency
409	Native Actual Presentation Latency
409	Native Display Link Target Latency
409	Native Event Handler Latency
409	Native Frame Queue Latency
409	Native GPU Terminal Observed Latency
409	Native Presentation Callback Lag
409	Native Presented Handler Latency
409	Native Submission Latency
409	Native Target Presentation Latency
409	Native Terminal Record Latency
429	Native Actual Presentation Latency
429	Native Display Link Target Latency
429	Native Event Handler Latency
