event	target_minus_display_link_ns	actual_minus_target_ns
81	33333250	16666417
91	33333250	16666583
101	33333250	-83
111	33333250	-250
121	33333250	-375
131	33333250	8333333
141	33333250	-167
151	33333250	8333083
161	33333250	8333375
171	33333250	-125
181	33333250	4166417
191	33333250	0
201	33333250	4166666
211	33333250	41
221	33333250	-208
231	33333250	-291
241	33333250	8333250
251	33333250	4166541
261	33333250	4166625
271	33333250	4166500
281	33333250	-83
289	33333250	-208
299	33333250	-208
339	33333250	8333042
369	33333250	-334
419	33333250	-333
449	33333250	-416
479	33333250	-417
529	33333250	-459
569	33333250	-500
609	33333250	-542
639	33333250	-667
665	33333250	-625
681	33333250	-750
697	33333250	-750
713	33333250	-833
729	33333250	-834
745	33333250	-917
763	33333250	-959
793	33333250	-959
803	33333250	-1042
829	33333250	-83
