metric	event	duration_ns
atlas_publication	0	9666
atlas_publication	2	5458
atlas_publication	47	250
atlas_publication	53	458
atlas_publication	61	83
atlas_publication	71	41
atlas_publication	81	333
atlas_publication	91	416
atlas_publication	101	250
atlas_publication	111	291
atlas_publication	121	250
atlas_publication	131	333
atlas_publication	141	208
atlas_publication	151	125
atlas_publication	161	88875
atlas_publication	171	2750
atlas_publication	181	208
atlas_publication	191	791
atlas_publication	201	166
atlas_publication	211	250
atlas_publication	221	333
atlas_publication	231	250
atlas_publication	241	3125
atlas_publication	251	166
atlas_publication	261	17666
atlas_publication	271	28500
atlas_publication	281	250
atlas_publication	289	291
atlas_publication	299	208
atlas_publication	309	166
atlas_publication	319	3791
atlas_publication	329	125
atlas_publication	339	541
atlas_publication	349	333
atlas_publication	359	333
atlas_publication	369	208
atlas_publication	379	208
atlas_publication	389	6833
atlas_publication	399	2666
atlas_publication	409	125
atlas_publication	419	41
atlas_publication	429	291
atlas_publication	439	83
atlas_publication	449	208
atlas_publication	459	4750
atlas_publication	469	208
atlas_publication	479	125
atlas_publication	489	375
atlas_publication	499	41
atlas_publication	509	333
atlas_publication	519	9958
atlas_publication	529	2333
atlas_publication	539	250
atlas_publication	549	3166
atlas_publication	559	8875
atlas_publication	569	2541
atlas_publication	579	83
atlas_publication	589	2958
atlas_publication	599	83
atlas_publication	609	4000
atlas_publication	619	2958
atlas_publication	629	2708
atlas_publication	639	5291
atlas_publication	649	3000
atlas_publication	657	125
atlas_publication	665	291
atlas_publication	673	375
atlas_publication	681	166
atlas_publication	689	208
atlas_publication	697	250
atlas_publication	705	416
atlas_publication	713	208
atlas_publication	721	250
atlas_publication	729	208
atlas_publication	737	416
atlas_publication	745	291
atlas_publication	753	375
atlas_publication	763	333
atlas_publication	773	250
atlas_publication	783	83
atlas_publication	793	83
atlas_publication	803	291
atlas_publication	811	375
atlas_publication	819	291
atlas_publication	829	65250
event_to_frame_complete	2	246833
event_to_frame_complete	47	210375
event_to_frame_complete	53	99833
event_to_frame_complete	61	51333
event_to_frame_complete	71	35625
event_to_frame_complete	81	86250
event_to_frame_complete	91	165666
event_to_frame_complete	101	95458
event_to_frame_complete	111	217875
event_to_frame_complete	121	88083
event_to_frame_complete	131	103541
event_to_frame_complete	141	164583
event_to_frame_complete	151	88750
event_to_frame_complete	161	291333
event_to_frame_complete	171	202916
event_to_frame_complete	181	99041
event_to_frame_complete	191	124791
event_to_frame_complete	201	144750
event_to_frame_complete	211	208458
event_to_frame_complete	221	111833
event_to_frame_complete	231	133625
event_to_frame_complete	241	173375
event_to_frame_complete	251	82416
event_to_frame_complete	261	260791
event_to_frame_complete	271	509833
event_to_frame_complete	281	95833
event_to_frame_complete	289	93375
event_to_frame_complete	299	152208
event_to_frame_complete	309	88041
event_to_frame_complete	319	46583
event_to_frame_complete	329	46625
event_to_frame_complete	339	102708
event_to_frame_complete	349	90291
event_to_frame_complete	359	92625
