metric	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns
atlas_publication	85	41	291	9958	88875	88875
event_to_frame_complete	84	31166	95458	246833	9785916	9785916
frame_build	85	29250	85500	250250	9775833	9775833
native_actual_presentation	42	41269375	43798958	64264750	68297667	68297667
native_display_link_target	46	7936333	10434917	25029542	51339792	51339792
native_event_handler	46	31291	102625	291667	9788042	9788042
native_frame_queue	46	101334	2068500	16707792	43517875	43517875
native_gpu_terminal_observed	46	8081625	10512250	35073834	88903667	88903667
native_presentation_callback_lag	42	173375	250125	2796542	3099500	3099500
native_presented_handler	46	32896125	44103083	67783875	76970500	76970500
native_submission	46	59042	100625	305542	4287209	4287209
native_target_presentation	46	41269583	43768167	58362792	84673042	84673042
native_terminal_record	46	10196083	18600917	36611208	88905209	88905209
state_mutation	838	625	2291	13916	29458	5825208
visible_layout	85	17583	35166	136458	9598250	9598250
