stage	event	scene	document	buffer	a	b	c
Atlas Publication Begin	0	1	0	0	12	0	0
Atlas Publication Complete	0	1	0	0	1	65536	1
Frame Build Begin	0	1	0	0	1148190720	1141309440	0
Frame Build Complete	0	1	0	0	17	12	0
Glyph Atlas Summary	0	1	0	0	2	10	68096
Layout Cache Summary	0	1	0	0	0	1	416
Text Summary	0	1	0	0	2	10	1
Visible Layout Begin	0	1	0	0	0	0	0
Visible Layout Complete	0	1	0	0	1	0	0
Event Dispatch Begin	2	0	0	0	9	1	0
State Mutation Complete	2	0	0	0	0	0	1
Event Dispatch Begin	3	0	0	0	9	1	0
State Mutation Complete	3	0	0	0	0	0	1
Event Dispatch Begin	4	0	0	0	7	1	0
State Mutation Complete	4	0	0	0	0	0	1
Event Dispatch Begin	5	0	0	0	8	1	0
State Mutation Complete	5	0	0	0	0	0	1
Event Dispatch Begin	6	0	0	0	8	1	0
State Mutation Complete	6	0	0	0	0	0	1
Event Dispatch Begin	7	0	0	0	8	1	0
State Mutation Complete	7	0	0	0	0	0	1
Event Dispatch Begin	8	0	0	0	8	1	0
State Mutation Complete	8	0	0	0	0	0	1
Event Dispatch Begin	9	0	0	0	8	1	0
State Mutation Complete	9	0	0	0	0	0	1
Event Dispatch Begin	10	0	0	0	8	1	0
State Mutation Complete	10	0	0	0	0	0	1
Event Dispatch Begin	11	0	0	0	8	1	0
State Mutation Complete	11	0	0	0	0	0	1
Event Dispatch Begin	12	0	0	0	8	1	0
State Mutation Complete	12	0	0	0	0	0	1
Event Dispatch Begin	13	0	0	0	8	1	0
State Mutation Complete	13	0	0	0	0	0	1
Event Dispatch Begin	14	0	0	0	8	1	0
State Mutation Complete	14	0	0	0	0	0	1
Event Dispatch Begin	15	0	0	0	8	1	0
State Mutation Complete	15	0	0	0	0	0	1
Event Dispatch Begin	16	0	0	0	8	1	0
State Mutation Complete	16	0	0	0	0	0	1
Event Dispatch Begin	17	0	0	0	8	1	0
State Mutation Complete	17	0	0	0	0	0	1
Event Dispatch Begin	18	0	0	0	8	1	0
State Mutation Complete	18	0	0	0	0	0	1
Event Dispatch Begin	19	0	0	0	8	1	0
State Mutation Complete	19	0	0	0	0	0	1
Event Dispatch Begin	20	0	0	0	8	1	0
State Mutation Complete	20	0	0	0	0	0	1
Event Dispatch Begin	21	0	0	0	8	1	0
State Mutation Complete	21	0	0	0	0	0	1
Event Dispatch Begin	22	0	0	0	8	1	0
State Mutation Complete	22	0	0	0	0	0	1
Event Dispatch Begin	23	0	0	0	8	1	0
State Mutation Complete	23	0	0	0	0	0	1
Event Dispatch Begin	24	0	0	0	8	1	0
State Mutation Complete	24	0	0	0	0	0	1
Event Dispatch Begin	25	0	0	0	8	1	0
State Mutation Complete	25	0	0	0	0	0	1
Event Dispatch Begin	26	0	0	0	8	1	0
State Mutation Complete	26	0	0	0	0	0	1
Event Dispatch Begin	27	0	0	0	8	1	0
State Mutation Complete	27	0	0	0	0	0	1
