metric	event	duration_ns
atlas_publication	0	12291
atlas_publication	48	2958
atlas_publication	58	125
atlas_publication	68	4166
atlas_publication	78	541
atlas_publication	88	83
atlas_publication	98	3291
atlas_publication	108	83
atlas_publication	118	1125
atlas_publication	128	3791
atlas_publication	138	4041
atlas_publication	148	2041
atlas_publication	158	83
atlas_publication	168	3541
atlas_publication	178	41
atlas_publication	188	291
atlas_publication	198	4750
atlas_publication	208	375
atlas_publication	218	416
atlas_publication	228	3750
atlas_publication	238	4000
atlas_publication	248	500
atlas_publication	258	208
atlas_publication	268	83
atlas_publication	278	9875
atlas_publication	288	541
atlas_publication	298	8166
atlas_publication	308	4000
atlas_publication	318	500
atlas_publication	328	250
atlas_publication	338	83
atlas_publication	348	500
atlas_publication	358	83
atlas_publication	368	83
atlas_publication	378	3666
atlas_publication	388	1708
atlas_publication	398	3458
atlas_publication	408	2833
atlas_publication	418	291
atlas_publication	428	83
atlas_publication	438	416
atlas_publication	448	416
atlas_publication	458	208
atlas_publication	468	250
atlas_publication	478	3416
atlas_publication	488	83
atlas_publication	498	208
atlas_publication	508	208
atlas_publication	518	208
atlas_publication	528	2416
atlas_publication	538	208
atlas_publication	548	83
atlas_publication	558	3000
atlas_publication	568	2500
atlas_publication	578	5375
atlas_publication	588	3708
event_to_frame_complete	48	174708
event_to_frame_complete	58	28250
event_to_frame_complete	68	206958
event_to_frame_complete	78	73250
event_to_frame_complete	88	23208
event_to_frame_complete	98	137625
event_to_frame_complete	108	26333
event_to_frame_complete	118	38791
event_to_frame_complete	128	33708
event_to_frame_complete	138	124166
event_to_frame_complete	148	34125
event_to_frame_complete	158	62375
event_to_frame_complete	168	204583
event_to_frame_complete	178	33250
event_to_frame_complete	188	156541
event_to_frame_complete	198	93458
event_to_frame_complete	208	85958
event_to_frame_complete	218	42458
event_to_frame_complete	228	125333
event_to_frame_complete	238	26208
event_to_frame_complete	248	71291
event_to_frame_complete	258	74291
event_to_frame_complete	268	22916
event_to_frame_complete	278	132333
event_to_frame_complete	288	24958
event_to_frame_complete	298	155083
event_to_frame_complete	308	27083
event_to_frame_complete	318	72916
event_to_frame_complete	328	78000
event_to_frame_complete	338	19583
event_to_frame_complete	348	58666
event_to_frame_complete	358	18166
event_to_frame_complete	368	69333
event_to_frame_complete	378	139625
event_to_frame_complete	388	45375
event_to_frame_complete	398	129500
event_to_frame_complete	408	55708
event_to_frame_complete	418	70625
event_to_frame_complete	428	20833
event_to_frame_complete	438	63208
event_to_frame_complete	448	23458
event_to_frame_complete	458	60375
event_to_frame_complete	468	58333
event_to_frame_complete	478	75541
event_to_frame_complete	488	56000
event_to_frame_complete	498	25750
event_to_frame_complete	508	52125
event_to_frame_complete	518	48000
event_to_frame_complete	528	61833
event_to_frame_complete	538	53541
event_to_frame_complete	548	20375
event_to_frame_complete	558	79916
event_to_frame_complete	568	97791
event_to_frame_complete	578	43000
event_to_frame_complete	588	105000
frame_build	0	1062333
frame_build	48	145833
frame_build	58	25083
frame_build	68	191583
frame_build	78	64791
frame_build	88	17458
frame_build	98	128541
frame_build	108	22750
frame_build	118	37000
frame_build	128	31541
frame_build	138	117291
frame_build	148	31041
frame_build	158	55375
frame_build	168	176750
frame_build	178	29500
frame_build	188	127416
frame_build	198	88166
frame_build	208	76291
frame_build	218	35750
frame_build	228	117416
frame_build	238	23416
frame_build	248	57666
frame_build	258	65708
frame_build	268	19666
frame_build	278	123833
frame_build	288	21916
frame_build	298	145458
frame_build	308	24625
frame_build	318	65625
frame_build	328	71000
frame_build	338	17333
frame_build	348	52500
frame_build	358	15791
frame_build	368	60750
frame_build	378	132333
frame_build	388	42375
frame_build	398	121250
frame_build	408	46375
frame_build	418	63166
frame_build	428	18041
frame_build	438	56041
frame_build	448	20750
frame_build	458	54458
frame_build	468	52541
frame_build	478	73208
frame_build	488	50208
frame_build	498	22958
frame_build	508	46250
frame_build	518	41958
frame_build	528	58750
frame_build	538	48166
frame_build	548	17625
frame_build	558	75250
frame_build	568	87791
frame_build	578	40333
frame_build	588	99833
native_actual_presentation	218	48096292
native_actual_presentation	248	48572542
native_actual_presentation	288	48382250
native_actual_presentation	318	48575458
native_actual_presentation	358	48508292
native_actual_presentation	388	48384167
native_actual_presentation	428	48343292
native_actual_presentation	458	48546583
native_actual_presentation	498	48493792
native_actual_presentation	528	48583542
native_actual_presentation	558	48734792
native_actual_presentation	588	48753708
native_display_link_target	58	14730625
native_display_link_target	128	14746083
native_display_link_target	178	14684708
native_display_link_target	218	14763250
native_display_link_target	248	15239542
native_display_link_target	288	15049292
native_display_link_target	318	15242583
native_display_link_target	358	15175458
native_display_link_target	388	15051375
native_display_link_target	428	15010542
native_display_link_target	458	15213833
native_display_link_target	498	15161125
native_display_link_target	528	15250917
native_display_link_target	558	15402208
native_display_link_target	588	15421167
native_event_handler	58	28583
native_event_handler	128	33916
native_event_handler	178	33500
native_event_handler	218	42708
native_event_handler	248	71500
native_event_handler	288	25167
native_event_handler	318	73125
native_event_handler	358	18333
native_event_handler	388	45541
native_event_handler	428	21000
native_event_handler	458	60667
native_event_handler	498	25958
native_event_handler	528	62041
native_event_handler	558	80166
native_event_handler	588	105250
native_frame_queue	58	7024417
native_frame_queue	128	6443750
native_frame_queue	178	6371875
native_frame_queue	218	6446125
native_frame_queue	248	6898500
native_frame_queue	288	6758250
native_frame_queue	318	6901250
native_frame_queue	358	6873667
native_frame_queue	388	6725750
native_frame_queue	428	6704666
native_frame_queue	458	6916292
native_frame_queue	498	6847208
native_frame_queue	528	6898833
native_frame_queue	558	7024000
native_frame_queue	588	7032916
native_gpu_terminal_observed	58	31450542
native_gpu_terminal_observed	128	14807166
native_gpu_terminal_observed	178	15046834
native_gpu_terminal_observed	218	14815833
native_gpu_terminal_observed	248	15299792
native_gpu_terminal_observed	288	15108792
native_gpu_terminal_observed	318	15303667
native_gpu_terminal_observed	358	15239333
native_gpu_terminal_observed	388	15114583
native_gpu_terminal_observed	428	15061167
native_gpu_terminal_observed	458	15263125
native_gpu_terminal_observed	498	15218042
native_gpu_terminal_observed	528	15293750
native_gpu_terminal_observed	558	15451958
native_gpu_terminal_observed	588	23806000
native_presentation_callback_lag	218	173917
native_presentation_callback_lag	248	191042
native_presentation_callback_lag	288	211375
native_presentation_callback_lag	318	193750
native_presentation_callback_lag	358	192667
native_presentation_callback_lag	388	197625
native_presentation_callback_lag	428	221875
native_presentation_callback_lag	458	169000
native_presentation_callback_lag	498	174375
native_presentation_callback_lag	528	222625
native_presentation_callback_lag	558	184250
native_presentation_callback_lag	588	202625
native_presented_handler	58	31456750
native_presented_handler	128	36064708
native_presented_handler	178	31544084
native_presented_handler	218	48270541
native_presented_handler	248	48763875
native_presented_handler	288	48593709
native_presented_handler	318	48769333
native_presented_handler	358	48701041
native_presented_handler	388	48581875
native_presented_handler	428	48565292
native_presented_handler	458	48715708
native_presented_handler	498	48668250
native_presented_handler	528	48806333
native_presented_handler	558	48919333
native_presented_handler	588	48956875
native_submission	58	253208
native_submission	128	177792
native_submission	178	92667
native_submission	218	95500
native_submission	248	95125
native_submission	288	111750
native_submission	318	112416
native_submission	358	67791
native_submission	388	89667
native_submission	428	95417
native_submission	458	131167
native_submission	498	71042
native_submission	528	68500
native_submission	558	61834
native_submission	588	104334
native_target_presentation	58	48063875
native_target_presentation	128	48079333
native_target_presentation	178	48017958
native_target_presentation	218	48096500
native_target_presentation	248	48572792
native_target_presentation	288	48382542
native_target_presentation	318	48575833
native_target_presentation	358	48508708
native_target_presentation	388	48384625
native_target_presentation	428	48343792
native_target_presentation	458	48547083
native_target_presentation	498	48494375
native_target_presentation	528	48584167
native_target_presentation	558	48735458
native_target_presentation	588	48754417
native_terminal_record	58	31451833
native_terminal_record	128	14808541
native_terminal_record	178	15047750
native_terminal_record	218	14816750
native_terminal_record	248	15301709
native_terminal_record	288	15109292
native_terminal_record	318	15305125
native_terminal_record	358	15239958
native_terminal_record	388	15115958
native_terminal_record	428	15061833
native_terminal_record	458	15264000
native_terminal_record	498	15219167
native_terminal_record	528	15294500
native_terminal_record	558	15453083
native_terminal_record	588	32144500
state_mutation	2	33375
state_mutation	3	1791
state_mutation	4	9541
state_mutation	5	39708
state_mutation	6	10125
state_mutation	7	4041
state_mutation	8	12750
