metric	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns
atlas_publication	56	41	500	8166	12291	12291
event_to_frame_complete	55	18166	60375	174708	206958	206958
frame_build	56	15791	54458	176750	1062333	1062333
native_actual_presentation	12	48096292	48508292	48753708	48753708	48753708
native_display_link_target	15	14684708	15161125	15421167	15421167	15421167
native_event_handler	15	18333	42708	105250	105250	105250
native_frame_queue	15	6371875	6873667	7032916	7032916	7032916
native_gpu_terminal_observed	15	14807166	15239333	31450542	31450542	31450542
native_presentation_callback_lag	12	169000	192667	222625	222625	222625
native_presented_handler	15	31456750	48668250	48956875	48956875	48956875
native_submission	15	61834	95417	253208	253208	253208
native_target_presentation	15	48017958	48494375	48754417	48754417	48754417
native_terminal_record	15	14808541	15239958	32144500	32144500	32144500
state_mutation	636	375	1375	9208	24791	6654791
visible_layout	56	5791	14500	87916	125541	125541
