event	missing_stage
48	Native Actual Presentation Latency
48	Native Display Link Target Latency
48	Native Event Handler Latency
48	Native Frame Queue Latency
48	Native GPU Terminal Observed Latency
48	Native Presentation Callback Lag
48	Native Presented Handler Latency
48	Native Submission Latency
48	Native Target Presentation Latency
48	Native Terminal Record Latency
58	Native Actual Presentation Latency
58	Native Display Link Target Latency
58	Native Event Handler Latency
58	Native Frame Queue Latency
58	Native GPU Terminal Observed Latency
58	Native Presentation Callback Lag
58	Native Presented Handler Latency
58	Native Submission Latency
58	Native Target Presentation Latency
58	Native Terminal Record Latency
68	Native Actual Presentation Latency
68	Native Display Link Target Latency
68	Native Event Handler Latency
68	Native Frame Queue Latency
68	Native GPU Terminal Observed Latency
68	Native Presentation Callback Lag
68	Native Presented Handler Latency
68	Native Submission Latency
68	Native Target Presentation Latency
68	Native Terminal Record Latency
78	Native Actual Presentation Latency
78	Native Display Link Target Latency
78	Native Event Handler Latency
78	Native Frame Queue Latency
78	Native GPU Terminal Observed Latency
78	Native Presentation Callback Lag
78	Native Presented Handler Latency
78	Native Submission Latency
78	Native Target Presentation Latency
78	Native Terminal Record Latency
88	Native Actual Presentation Latency
88	Native Display Link Target Latency
88	Native Event Handler Latency
88	Native Frame Queue Latency
88	Native GPU Terminal Observed Latency
88	Native Presentation Callback Lag
88	Native Presented Handler Latency
88	Native Submission Latency
88	Native Target Presentation Latency
88	Native Terminal Record Latency
98	Native Actual Presentation Latency
98	Native Display Link Target Latency
98	Native Event Handler Latency
98	Native Frame Queue Latency
98	Native GPU Terminal Observed Latency
98	Native Presentation Callback Lag
98	Native Presented Handler Latency
98	Native Submission Latency
98	Native Target Presentation Latency
98	Native Terminal Record Latency
108	Native Actual Presentation Latency
108	Native Display Link Target Latency
108	Native Event Handler Latency
108	Native Frame Queue Latency
108	Native GPU Terminal Observed Latency
108	Native Presentation Callback Lag
108	Native Presented Handler Latency
108	Native Submission Latency
108	Native Target Presentation Latency
108	Native Terminal Record Latency
118	Native Actual Presentation Latency
118	Native Display Link Target Latency
118	Native Event Handler Latency
118	Native Frame Queue Latency
118	Native GPU Terminal Observed Latency
118	Native Presentation Callback Lag
118	Native Presented Handler Latency
118	Native Submission Latency
118	Native Target Presentation Latency
118	Native Terminal Record Latency
128	Native Actual Presentation Latency
128	Native Display Link Target Latency
128	Native Event Handler Latency
128	Native Frame Queue Latency
128	Native GPU Terminal Observed Latency
128	Native Presentation Callback Lag
