metric	event	duration_ns
atlas_publication	0	10875
atlas_publication	48	13416
atlas_publication	58	250
atlas_publication	68	2500
atlas_publication	78	208
atlas_publication	88	125
atlas_publication	98	4208
atlas_publication	108	83
atlas_publication	118	958
atlas_publication	128	3791
atlas_publication	138	1250
atlas_publication	148	6291
atlas_publication	158	6416
atlas_publication	168	3750
atlas_publication	178	333
atlas_publication	188	291
atlas_publication	198	15541
atlas_publication	208	833
atlas_publication	218	83
atlas_publication	228	11375
atlas_publication	238	208
atlas_publication	248	208
atlas_publication	258	125
atlas_publication	268	333
atlas_publication	278	4333
atlas_publication	288	208
atlas_publication	298	4250
atlas_publication	308	291
atlas_publication	318	625
atlas_publication	328	83
atlas_publication	338	416
atlas_publication	348	125
atlas_publication	358	208
atlas_publication	368	83
atlas_publication	378	11958
atlas_publication	388	1791
atlas_publication	398	6125
atlas_publication	408	5625
atlas_publication	418	125
atlas_publication	428	208
atlas_publication	438	83
atlas_publication	448	250
atlas_publication	458	4750
atlas_publication	468	208
atlas_publication	478	2375
atlas_publication	488	83
atlas_publication	498	83
atlas_publication	508	208
atlas_publication	518	208
atlas_publication	528	2083
atlas_publication	538	4583
atlas_publication	548	125
atlas_publication	558	6500
atlas_publication	568	2500
atlas_publication	578	1583
atlas_publication	588	3041
event_to_frame_complete	48	281000
event_to_frame_complete	58	30750
event_to_frame_complete	68	149666
event_to_frame_complete	78	20958
event_to_frame_complete	88	25583
event_to_frame_complete	98	53333
event_to_frame_complete	108	13208
event_to_frame_complete	118	21708
event_to_frame_complete	128	30458
event_to_frame_complete	138	21333
event_to_frame_complete	148	403083
event_to_frame_complete	158	85541
event_to_frame_complete	168	103583
event_to_frame_complete	178	98958
event_to_frame_complete	188	25416
event_to_frame_complete	198	163041
event_to_frame_complete	208	87291
event_to_frame_complete	218	32291
event_to_frame_complete	228	169041
event_to_frame_complete	238	92125
event_to_frame_complete	248	85458
event_to_frame_complete	258	21125
event_to_frame_complete	268	98583
event_to_frame_complete	278	128291
event_to_frame_complete	288	91416
event_to_frame_complete	298	94333
event_to_frame_complete	308	94625
event_to_frame_complete	318	82208
event_to_frame_complete	328	33750
event_to_frame_complete	338	69708
event_to_frame_complete	348	22708
event_to_frame_complete	358	64208
event_to_frame_complete	368	24666
event_to_frame_complete	378	174125
event_to_frame_complete	388	47083
event_to_frame_complete	398	105916
event_to_frame_complete	408	118208
event_to_frame_complete	418	22458
event_to_frame_complete	428	64916
event_to_frame_complete	438	21875
event_to_frame_complete	448	56666
event_to_frame_complete	458	24625
event_to_frame_complete	468	36791
event_to_frame_complete	478	74791
event_to_frame_complete	488	44166
event_to_frame_complete	498	16333
event_to_frame_complete	508	37625
event_to_frame_complete	518	43250
event_to_frame_complete	528	57291
event_to_frame_complete	538	43916
event_to_frame_complete	548	22916
event_to_frame_complete	558	106041
event_to_frame_complete	568	70125
event_to_frame_complete	578	29166
event_to_frame_complete	588	87291
frame_build	0	1315125
frame_build	48	243000
frame_build	58	25333
frame_build	68	139750
frame_build	78	17041
frame_build	88	19000
