metric	count	min_ns	p50_ns	p95_ns	p99_ns	max_ns
atlas_publication	56	83	416	11958	15541	15541
event_to_frame_complete	55	13208	57291	174125	403083	403083
frame_build	56	11666	52333	243000	1315125	1315125
native_actual_presentation	11	31337667	47698750	48034208	48034208	48034208
native_display_link_target	14	8428417	14365833	14701625	14701625	14701625
native_event_handler	14	16541	57542	163250	163250	163250
native_frame_queue	14	119459	6041625	6395750	6395750	6395750
native_gpu_terminal_observed	14	12541792	14501500	14748958	14748958	14748958
native_presentation_callback_lag	11	158708	179125	211333	211333	211333
native_presented_handler	14	12548500	47800333	48246042	48246042	48246042
native_submission	14	37583	79292	222875	222875	222875
native_target_presentation	14	41761667	47699083	48034875	48034875	48034875
native_terminal_record	14	12543167	14503375	23148417	23148417	23148417
state_mutation	707	416	1375	10833	37333	8189166
visible_layout	56	5208	15916	114458	234333	234333
