# model	configuration	expected_invariant
aep-0009	Faulty.cfg	QualifiedClosure
aep-0016	Faulty.cfg	AcceptedIsValid
aep-0025	Faulty.cfg	InFlightOwnsResource
aep-0028	Faulty.cfg	MeasurementRequiresEquivalence
aep-0064	Faulty.cfg	PresentedIsCurrent
aep-0120	Faulty.cfg	CurrentPublicationIsCurrent
aep-0137	Faulty.cfg	CurrentApplicationIsCurrent
aep-0139	Faulty.cfg	RejectedIsAtomic
aep-0153	Faulty.cfg	CancelledCloseStaysLive
aep-0153	FaultyCut.cfg	CutMutationRequiresMatchingCompletion
aep-0153	FaultyDirtyClose.cfg	DirtyCloseNeverAllows
aep-0160	FaultyFailedSelection.cfg	FailedSelectionPreservesDocument
aep-0160	FaultyReplacement.cfg	SuccessfulReplacementAdvancesIdentity
aep-0163	FaultyDirtyClose.cfg	DirtyClosePreservesDocument
aep-0163	FaultyDuplicate.cfg	DuplicateOpenPreservesCount
aep-0165	FaultyReplacement.cfg	ReplacementRequiresCurrent
aep-0165	FaultyStale.cfg	AdmittedIsCurrent
aep-0168	FaultySelection.cfg	SelectionUsesCurrentQuery
aep-0168	FaultyStale.cfg	PublishedInventoryIsCurrent
aep-0171	FaultySelection.cfg	SelectionIsCurrent
aep-0171	FaultyStale.cfg	PublishedIsCurrent
aep-0177	FaultyCancel.cfg	ClosedOwnsNoSelection
aep-0177	FaultyExecute.cfg	ExecutedWasCurrent
aep-0180	FaultyOverflow.cfg	ResultsAreBounded
aep-0180	FaultyStale.cfg	PublishedIsCurrent
aep-0218	FaultyApply.cfg	ApplyRequiresCurrent
aep-0218	FaultyLate.cfg	PublishedIsCurrent
aep-0250	FaultyDuplicate.cfg	AtMostOneResponse
aep-0250	FaultyStale.cfg	MutationIsCurrent
aep-0271	FaultyBorrow.cfg	PostsReleaseBorrow
aep-0271	FaultyOrdinary.cfg	OrdinaryFollowsDestruction
aep-0271	FaultyRevoke.cfg	NoPostAfterHandlerRevocation
